Signal,Runs,m,tau,M_mean_mean,M_mean_std,M_mean_ci95,D_local_mean,D_local_std,D_local_ci95,TE_fwd_mean,TE_fwd_std,TE_fwd_ci95
pink_noise,100,5,10,1.7967896420136646,0.5590074156626023,0.10956545346987004,5.49470207950062,0.10350944487300796,0.02028785119510956,0.010873700827481701,0.01617297600474634,0.003169903296930283
ar1_05,100,1,1,0.2468810241650725,0.0544691904677061,0.010675961331670394,1.1302097432490754,0.013162933546294907,0.0025799349750738015,0.012151426362680216,0.01555505344296672,0.0030487904748214773
ar1_05,100,2,1,0.2470167602808684,0.05439977987464748,0.010662356855430906,2.288023924877454,0.02348062350925839,0.0046022022078146445,0.012339259800855578,0.015611069301413072,0.003059769583076962
ar1_05,100,2,5,0.24723847479823338,0.05486199783814793,0.010752951576276993,2.2875606852768655,0.02265043000334809,0.004439484280656225,0.012254220894060888,0.015385735959313763,0.0030156042480254976
ar1_05,100,2,10,0.24886753965270958,0.05526726782209045,0.010832384493129728,2.2852073373064563,0.02742697702472642,0.005375687496846379,0.01265819746990481,0.015486205493954023,0.0030352962768149883
ar1_05,100,3,1,0.24707650435487255,0.05447697494894164,0.010677487089992561,3.4444282323200492,0.046522428783386256,0.009118396041543705,0.012464777365039597,0.015502722723146485,0.003038533653736711
ar1_05,100,3,5,0.24886753965270958,0.05526726782209045,0.010832384493129728,3.452082409956398,0.04498998417678384,0.008818036898649632,0.01265819746990481,0.015486205493954023,0.0030352962768149883
ar1_05,100,3,10,0.24901069267210715,0.05512497455087564,0.010804495011971626,3.4420031860490785,0.04627315725793788,0.009069538822555824,0.012771007248616151,0.015515518752128232,0.0030410416754171337
ar1_05,100,4,1,0.24672932462520872,0.054600411709453345,0.010701680695052855,4.538605685022649,0.06737766481208092,0.01320602230316786,0.012383276911401979,0.015503759929093912,0.0030387369461024067
ar1_05,100,4,5,0.2487759491296783,0.05555687867181105,0.010889148219674965,4.577036335588875,0.06615295497843868,0.012965979175773981,0.012427043843149273,0.015340716388219305,0.003006780412090984
ar1_05,100,4,10,0.24813446812780315,0.05475860546752299,0.010732686671634507,4.566994703028602,0.06663877482787993,0.013061199866264467,0.012723217478867132,0.016109191374116226,0.00315740150932678
