engine,phase,representation,dim,M,D_local,TE_forward,TE_reverse,CMI
18,Early,PCA-2,2,0.10042266618048057,2.3861077705474356,0.09344882212369532,0.12076247564835096,nan
18,Early,PCA-1,1,0.10042266618048057,1.238754456095322,nan,nan,nan
18,Late,Raw,3,12.208778528248626,2.5066871958825963,0.0,0.0,0.19225134915044562
18,Late,Rolling,3,15.638421540787483,1.515836479012426,0.0,0.0734480482393165,0.7936863982402325
18,Late,PCA-2,2,12.346140654719447,1.9254770259502851,0.0,0.0,nan
18,Late,PCA-1,1,12.346140654719447,1.2093258809309253,nan,nan,nan
19,Early,Raw,3,0.086100881557587,3.45291250713846,0.0040845219837724045,0.0,0.12726585524038736
19,Early,Rolling,3,1.2196012152461817,2.3354503510823497,0.0,0.048201611548087886,0.27604234914483516
19,Early,PCA-2,2,0.16237814606929124,2.7407703036843376,0.023322253519195257,0.0,nan
19,Early,PCA-1,1,0.16237814606929124,1.2277554873225782,nan,nan,nan
19,Late,Raw,3,0.01259244665319903,3.2335048877694494,0.0,0.0,0.0
19,Late,Rolling,3,3.023496976498626,2.2121629232062037,0.00885684637148243,0.0,0.3327641570058195
19,Late,PCA-2,2,1.433629234843543,2.159874070466422,0.0,0.0808076222941514,nan
19,Late,PCA-1,1,1.433629234843543,1.165380475607167,nan,nan,nan
20,Early,Raw,3,0.1236317085828742,3.387107030091907,0.003978416139074348,0.0,0.0
20,Early,Rolling,3,1.8024915941067525,2.708336507667405,0.0,0.030803890275975743,0.19942762799642821
20,Early,PCA-2,2,0.22823485145565314,2.312929087012555,0.0,0.02940206324991479,nan
20,Early,PCA-1,1,0.22823485145565314,1.1474883236197444,nan,nan,nan
20,Late,Raw,3,0.23874870591372455,2.995478634365024,0.03585361388632258,0.08429646305524896,0.2188331796929064
20,Late,Rolling,3,7.0671140418635146,2.330277038139659,0.0,0.0490227877670284,0.8112994747024449
20,Late,PCA-2,2,1.9798206114868764,2.2065245039745762,0.0,0.0016056481704960213,nan
20,Late,PCA-1,1,1.9798206114868764,1.1897176833299365,nan,nan,nan
