m,tau,Pair,d,d_ci_lower,d_ci_upper,Overlap,AUC,AUC_ci_lower,AUC_ci_upper,P_val
2,5,White-Lorenz,5.133946065012888,4.565842719002898,5.9670769951195535,0.0,1.0,0.9999999999999999,1.0,0.001998001998001998
2,10,White-Pink,0.04687218149769498,0.004824602345939934,0.32525286841829887,0.7100000000000009,0.5232,0.5015975,0.6039125,0.7532467532467533
2,10,White-AR1_05,0.06292448247067235,0.004023306502338845,0.34539668302184967,0.639999999999994,0.526,0.502,0.608915,0.6733266733266733
2,10,White-AR1_09,0.4805945459220241,0.1951651950754239,0.7555207965680137,0.7199999999999979,0.6274,0.5572625,0.7057025,0.003996003996003996
2,10,AR1_09-Pink,0.41982276614285485,0.16173974074986416,0.6775840040370326,0.6399999999999897,0.6029,0.5217875000000001,0.6762075000000001,0.003996003996003996
2,10,AR1_09-Lorenz,5.438902924472495,4.8626413944367775,6.299703097039367,0.0,1.0,1.0,1.0,0.001998001998001998
2,10,Pink-Lorenz,5.699898721538831,5.071538918043285,6.626589917292597,0.0,1.0,1.0,1.0,0.001998001998001998
2,10,White-Lorenz,6.100132637103279,5.299937240296944,7.28910749207554,0.0,1.0,1.0,1.0,0.001998001998001998
3,1,White-Pink,0.18787479182696534,0.010544180612895386,0.4737783557630998,0.7000000000000035,0.5474,0.5027999999999999,0.627215,0.21978021978021978
3,1,White-AR1_05,0.06842809112793478,0.0046574863817986905,0.3594698940409894,0.6400000000000001,0.5079,0.5011975000000001,0.5961075,0.6893106893106893
3,1,White-AR1_09,0.7543238633222878,0.49080061876961356,1.0152203012055214,0.6399999999999954,0.6938,0.6216924999999999,0.763205,0.001998001998001998
3,1,AR1_09-Pink,0.5617893408151567,0.29357731972533324,0.8713057330206369,0.6600000000000028,0.6522,0.5790774999999999,0.7238,0.001998001998001998
3,1,AR1_09-Lorenz,24.37158185840861,21.836944711332787,27.997336600677883,0.0,1.0,1.0,1.0,0.001998001998001998
3,1,Pink-Lorenz,23.37388155675472,20.168244639933185,27.95796058218041,0.0,1.0,1.0,1.0,0.001998001998001998
3,1,White-Lorenz,23.46885598139113,20.930815640845076,26.81089598650951,0.0,1.0,1.0,1.0,0.001998001998001998
3,5,White-Pink,0.3299550143724751,0.058487897854959336,0.5998578117657944,0.6499999999999984,0.5958,0.5195924999999999,0.6700025000000001,0.01998001998001998
3,5,White-AR1_05,0.026575129972538428,0.004599480498575386,0.3098166761533559,0.6900000000000014,0.5092,0.5014000000000001,0.5897325000000001,0.8671328671328671
3,5,White-AR1_09,1.396303344411558,1.1118762894326981,1.7244486791909464,0.43,0.8412999999999999,0.7844749999999999,0.892405,0.001998001998001998
3,5,AR1_09-Pink,1.0784469360416375,0.8006646402536828,1.382451983645073,0.5200000000000006,0.7741,0.707095,0.8363025000000002,0.001998001998001998
3,5,AR1_09-Lorenz,32.85939580155427,29.670324495513434,37.68911707861628,0.0,1.0,1.0,1.0,0.001998001998001998
3,5,Pink-Lorenz,36.35240006350033,31.662598399785967,42.89598346151008,0.0,1.0,1.0,1.0,0.001998001998001998
3,5,White-Lorenz,36.63004815721716,31.013072942900624,44.72034384088199,0.0,1.0,1.0,1.0,0.001998001998001998
3,10,White-Pink,0.43519194196585215,0.16977481422886662,0.7225830726295558,0.6800000000000027,0.6051,0.5290424999999999,0.6784125,0.003996003996003996
3,10,White-AR1_05,0.22513387209005467,0.018010413607920526,0.505984284907704,0.6900000000000018,0.5546,0.5026,0.6342125,0.13586413586413587
3,10,White-AR1_09,1.781701794019081,1.4934493117906196,2.137594630430495,0.39000000000000007,0.8944,0.8448749999999999,0.9323125,0.001998001998001998
3,10,AR1_09-Pink,1.4132981806972167,1.1333070154661466,1.756659379487095,0.43999999999999967,0.8386,0.777895,0.8861,0.001998001998001998
3,10,AR1_09-Lorenz,33.00715421169204,29.73925376167002,37.7463112711435,0.0,1.0,1.0,1.0,0.001998001998001998
3,10,Pink-Lorenz,40.84735429932169,35.73546400852247,47.57051413052029,0.0,1.0,1.0,1.0,0.001998001998001998
3,10,White-Lorenz,39.29483762857875,34.91100294478144,45.06417658001611,0.0,1.0,1.0,1.0,0.001998001998001998
4,1,White-Pink,1.2716330339994442,0.9832847760277172,1.5783718820523902,0.4999999999999951,0.8128,0.755695,0.8708125,0.001998001998001998
4,1,White-AR1_05,0.6381531055832835,0.366829632221692,0.9137049281493285,0.5999999999999989,0.6705,0.59715,0.741625,0.001998001998001998
4,1,White-AR1_09,2.6385621136381414,2.3426112507964456,3.0338266379585095,0.16000000000000086,0.9716,0.9509974999999999,0.9881,0.001998001998001998
4,1,AR1_09-Pink,1.400917720035606,1.10157778540484,1.7513530702226892,0.42000000000000076,0.8364,0.7747,0.8876025000000001,0.001998001998001998
4,1,AR1_09-Lorenz,38.84450930314776,34.83738803167098,43.962899951939754,0.0,1.0,1.0,1.0,0.001998001998001998
4,1,Pink-Lorenz,39.6116447452314,35.16903494866731,46.15960241800458,0.0,1.0,1.0,1.0,0.001998001998001998
4,1,White-Lorenz,38.631520795363855,34.23476634597651,45.0640442888237,0.0,1.0,1.0,1.0,0.001998001998001998
4,5,White-Pink,0.9685852690952226,0.6906134905873822,1.2576683600457654,0.5699999999999994,0.7456,0.67536,0.8062125,0.001998001998001998
4,5,White-AR1_05,0.09510411622433429,0.006065418596495353,0.362929278788884,0.6199999999999976,0.5201,0.5015000000000001,0.6036075,0.45354645354645357
4,5,White-AR1_09,2.7481217242850575,2.409446641944974,3.1645129991410554,0.17000000000000154,0.9757,0.9565925,0.9903075,0.001998001998001998
4,5,AR1_09-Pink,1.8772690407248074,1.5779125619870953,2.2267436008675205,0.32999999999999946,0.9071,0.8691675,0.94511,0.001998001998001998
4,5,AR1_09-Lorenz,35.91254989151164,31.710677149074563,42.03413337457971,0.0,1.0,1.0,1.0,0.001998001998001998
4,5,Pink-Lorenz,48.6301286792847,43.53448731506653,55.91759953354676,0.0,1.0,1.0,1.0,0.001998001998001998
4,5,White-Lorenz,51.92577729813288,46.36975295837744,60.02002675798895,0.0,1.0,1.0,1.0,0.001998001998001998
4,10,White-Pink,0.8978876489008446,0.633833013707742,1.2124183604083965,0.5499999999999967,0.7276,0.650795,0.7898125,0.001998001998001998
4,10,White-AR1_05,0.14979743579572863,0.00697139141427815,0.42220230731341224,0.6400000000000022,0.5238,0.5014000000000001,0.6038024999999999,0.26973026973026976
4,10,White-AR1_09,3.858838008803912,3.485928624450449,4.378464818524504,0.02999999999999948,0.9989,0.9967,1.0,0.001998001998001998
4,10,AR1_09-Pink,2.9996575358841207,2.6793192930227896,3.425097516339168,0.109999999999998,0.9874,0.9757,0.9964,0.001998001998001998
4,10,AR1_09-Lorenz,36.92145099049149,32.57434151899849,43.21130931332872,0.0,1.0,1.0,1.0,0.001998001998001998
4,10,Pink-Lorenz,50.70978523787382,45.62315450900775,58.52131017492569,0.0,1.0,1.0,1.0,0.001998001998001998
4,10,White-Lorenz,55.14001196231281,49.60224159556721,62.53744150554498,0.0,1.0,1.0,1.0,0.001998001998001998
5,1,White-Pink,1.9246328764023584,1.6267631125761108,2.294410788217208,0.2900000000000008,0.913,0.8686900000000001,0.950605,0.001998001998001998
5,1,White-AR1_05,1.1861469858800657,0.9074505758464507,1.4818232977938486,0.46999999999999975,0.8007,0.7412925,0.859005,0.001998001998001998
5,1,White-AR1_09,4.210243810814389,3.7596088520737774,4.766944525619105,0.030000000000000387,0.9977,0.9934,1.0,0.001998001998001998
5,1,AR1_09-Pink,2.3482813350988656,1.989537086190829,2.8060584031179037,0.22999999999999982,0.9458000000000001,0.9149,0.9726025,0.001998001998001998
5,1,AR1_09-Lorenz,43.29079097961005,38.03850934297076,51.15425766815923,0.0,1.0,1.0,1.0,0.001998001998001998
5,1,Pink-Lorenz,44.95647603995836,39.78464696175923,51.953156975101315,0.0,1.0,1.0,1.0,0.001998001998001998
5,1,White-Lorenz,44.236393942156916,39.593412286873914,50.90081609160486,0.0,1.0,1.0,1.0,0.001998001998001998
5,5,White-Pink,1.5855696375801043,1.3038511858565418,1.9162826636168757,0.35999999999999843,0.8741,0.8233,0.916415,0.001998001998001998
5,5,White-AR1_05,0.1895949039240864,0.013082004764784615,0.4702399030702827,0.7300000000000015,0.5637000000000001,0.5034000000000001,0.6397324999999999,0.18981018981018982
5,5,White-AR1_09,5.059210607021362,4.563192844046155,5.696559930094634,0.0,1.0,1.0,1.0,0.001998001998001998
5,5,AR1_09-Pink,3.4107760701557073,3.0490186240833395,3.87912441286764,0.0699999999999998,0.9935999999999999,0.9852949999999999,0.9989,0.001998001998001998
5,5,AR1_09-Lorenz,33.64022384690266,29.520963813721732,39.55970040626698,0.0,1.0,1.0,1.0,0.001998001998001998
5,5,Pink-Lorenz,47.402237248435675,41.50225681532418,56.3003254059582,0.0,1.0,1.0,1.0,0.001998001998001998
5,5,White-Lorenz,62.37064429412153,56.0421280133973,71.6710093397976,0.0,1.0,1.0,1.0,0.001998001998001998
5,10,White-Pink,1.6096754726680662,1.2891525977566003,1.973767750510481,0.33,0.8813,0.827475,0.9256025,0.001998001998001998
5,10,White-AR1_05,0.3233333433441203,0.07000485682674085,0.6396936203992043,0.6700000000000018,0.5852999999999999,0.5116925,0.668715,0.03396603396603397
5,10,White-AR1_09,5.194042682382738,4.682689380521157,5.888340025901005,0.0,1.0,1.0,1.0,0.001998001998001998
5,10,AR1_09-Pink,3.9630184216693864,3.557703113637578,4.4618003115179565,0.010000000000000122,1.0,0.9999999999999999,1.0,0.001998001998001998
5,10,AR1_09-Lorenz,24.700891429091843,21.44591761098009,29.345564396620613,0.0,1.0,1.0,1.0,0.001998001998001998
5,10,Pink-Lorenz,47.90677990301322,42.00149346581126,55.22087735469064,0.0,1.0,1.0,1.0,0.001998001998001998
5,10,White-Lorenz,52.87929634312894,46.246138509291754,62.489024706081,0.0,1.0,1.0,1.0,0.001998001998001998
