engine,phase,noise,repeat,M,D_local,TE_forward,TE_reverse,CMI,valid
1,Late,0.1,4,0.11781737462883024,3.1327246018300543,0.026828653369752153,0.11589652941214679,0.05241415537073646,True
1,Late,0.2,0,0.07551886467330649,3.1339587433258895,0.10765802996196783,0.02914904915068517,0.18169640641969353,True
1,Late,0.2,1,0.04995489357480176,3.3227932592544973,0.020332582942493183,0.1038986205399377,0.0,True
1,Late,0.2,2,0.17445555315699268,3.3089649881220304,0.0,0.10155494643091911,0.0,True
1,Late,0.2,3,0.05844831064417333,3.206077369572152,0.07767709935508726,0.0,0.03824616480619536,True
1,Late,0.2,4,0.116541389661736,3.0818816780379197,0.05300559603010235,0.08421591175829368,0.016218695533908534,True
2,Early,0.0,0,0.13132639987162653,3.3099183042548197,0.0,0.0,0.0,True
2,Early,0.05,0,0.12986994092933157,3.3985540758749164,0.0,0.029814125678429004,0.0,True
2,Early,0.05,1,0.13431055132477576,3.244999601881398,0.0,0.0,0.0,True
2,Early,0.05,2,0.15639288963266962,3.3708692180378472,0.0,0.0,0.03158150523557346,True
2,Early,0.05,3,0.14896264495546063,3.2605353312035747,0.0,0.0,0.0,True
2,Early,0.05,4,0.11376751812997066,3.307792370036201,0.0,0.004697385476652549,0.0,True
2,Early,0.1,0,0.17360502695115754,3.302699808250773,0.0,0.0,0.0,True
2,Early,0.1,1,0.1581965771683822,3.357508057221701,0.0,0.04248165292400419,0.0,True
2,Early,0.1,2,0.140937655064596,3.349866949354867,0.0,0.031236833702195987,0.0,True
2,Early,0.1,3,0.07031494792226534,3.330494675756002,0.0,0.013875913482243263,0.01616172259403159,True
2,Early,0.1,4,0.19377387905623955,3.2929008569294376,0.0,0.0691391248272808,0.0,True
2,Early,0.2,0,0.1062638126326747,3.2885809841782025,0.0,0.04433555036216763,0.09101583784255407,True
2,Early,0.2,1,0.14036466121850388,3.3237080640873327,0.0,0.0,0.03943820308701529,True
2,Early,0.2,2,0.11871942134970048,3.2413746351378845,0.0,0.004659089835164387,0.0,True
2,Early,0.2,3,0.21303042910864933,3.280881938760011,0.0,0.003605716367151679,0.005410157885453959,True
2,Early,0.2,4,0.08798083616712704,3.218333394664743,0.001601777599095744,0.055535323147914095,0.10700703177982529,True
2,Late,0.0,0,6.507755668540057,3.119746679731831,0.007282823537121175,0.00718481871505583,0.3555655704590932,True
2,Late,0.05,0,6.461744468547285,3.064437774259382,0.04075405302055657,0.030182743452769945,0.3334340514588048,True
2,Late,0.05,1,6.308134514929398,3.137949766125429,0.0,0.03869125264985751,0.3901983151832682,True
2,Late,0.05,2,6.549113285017315,3.124373207312219,0.0,0.07875457659035945,0.40159791739936335,True
2,Late,0.05,3,6.648513046697878,3.140627037147284,0.052096584785497946,0.0,0.3394395740955609,True
2,Late,0.05,4,6.6167825176506945,3.214712979039853,0.0,0.03271489047264353,0.3428610624763775,True
2,Late,0.1,0,6.494312763384398,3.1851433784895127,0.027604879092733015,0.03939693372943731,0.37486319837529924,True
2,Late,0.1,1,6.131085568386635,3.122815772111067,0.0,0.0,0.38644981243918064,True
2,Late,0.1,2,5.7187872757328115,3.1185135723612665,0.0,0.0,0.5285656509784258,True
2,Late,0.1,3,6.67644657884516,3.3095694122039805,0.075356029291624,0.04652058583703633,0.40230331633035554,True
2,Late,0.1,4,6.245174612520521,3.2299414089612313,0.0,0.09258839390378437,0.43677489752183307,True
2,Late,0.2,0,5.806709912968948,3.319444319323155,0.09236098379435953,0.05326392076194075,0.3297469343295618,True
2,Late,0.2,1,6.312591279361303,3.4325564624657794,0.030489419234473125,0.12770103388650744,0.28160744487943923,True
2,Late,0.2,2,5.299687978932622,3.041578525890649,0.04352809812560299,0.04441504899241977,0.3396242087152217,True
2,Late,0.2,3,5.814221929150233,3.2581140099926866,0.0,0.16491396188252017,0.34766761961333037,True
2,Late,0.2,4,5.195280807308901,3.110619392335121,0.04896622293270081,0.10162363126824614,0.22713176000942914,True
3,Early,0.0,0,0.12769079333801692,3.2783649525766005,0.023152556250422673,0.0,0.011824032528877204,True
3,Early,0.05,0,0.14096281882450556,3.235374962195563,0.045873015846157994,0.0,0.0,True
3,Early,0.05,1,0.11146510085978445,3.30726184101204,0.0,0.0,0.0,True
3,Early,0.05,2,0.13460926128090778,3.240638262661186,0.0,0.029219040410133346,0.025608683873250104,True
3,Early,0.05,3,0.11408668837073721,3.157472966761913,0.0,0.0,0.04566486232817102,True
3,Early,0.05,4,0.09410555673135068,3.29877007572455,0.020854811927109917,0.005352370556838348,0.0,True
3,Early,0.1,0,0.10966783411335079,3.3108816529045506,0.004190801809974332,0.0253387799017597,0.12074750081641605,True
3,Early,0.1,1,0.10394346602414783,3.3071757134878257,0.03662141865701107,0.0,0.0,True
3,Early,0.1,2,0.09087980089778336,3.1881115496178687,0.13540661154898537,0.1441879522148981,0.0,True
3,Early,0.1,3,0.10698541805234196,3.273701819075729,0.0,0.08825266560414269,0.0034792798561502636,True
3,Early,0.1,4,0.011953992201299002,3.2285959130898108,0.0,0.001015778960598901,0.0,True
3,Early,0.2,0,0.12856386003900244,3.5041276983319043,0.0,0.0,0.07511179479752039,True
3,Early,0.2,1,0.07989671194619774,3.281010330810006,0.0,0.023200529511722134,0.1306602639608223,True
3,Early,0.2,2,0.08884114451187264,3.1423291330980967,0.03387917574939614,0.009616139275522961,0.08389640101561957,True
3,Early,0.2,3,0.11943478398328322,3.1578646411639206,0.04676481712231784,0.05431952232256787,0.0,True
3,Early,0.2,4,0.09510290743093641,3.157974103943316,0.007444696089490055,0.010787227328885152,0.16890430209616492,True
3,Late,0.0,0,11.244770506271784,2.4949589884127454,0.03961907055163927,0.0,0.12180120052302801,True
3,Late,0.05,0,11.221747986327262,2.553755893924631,0.07381996776800337,0.0,0.15006485309154227,True
3,Late,0.05,1,10.978746797235516,2.613781076148617,0.08056481564549545,0.005499078101097066,0.19020392326082636,True
3,Late,0.05,2,11.093424486511628,2.6344970802909105,0.07370733613187719,0.0,0.17371355877638095,True
3,Late,0.05,3,10.714211122674236,2.5594903434655567,0.018100547287792423,0.0051744541495697405,0.1872859702067693,True
3,Late,0.05,4,10.97313213118273,2.574156396668842,0.0012364842294823042,0.0,0.18547597405769034,True
3,Late,0.1,0,10.026943577395448,2.4408585200786472,0.0,0.08325825815361254,0.15342532263628028,True
