Signal,m,tau,run,N_eff,M_mean,D_local,TE_fwd
gaussian_white_noise,1,1,90,1000,0.06298808647026188,1.119474555709521,0.0051257977374215
gaussian_white_noise,1,1,91,1000,0.09138643620587406,1.12489056696796,0.0
gaussian_white_noise,1,1,92,1000,0.0864431299222641,1.137602854168595,0.00022421038472897337
gaussian_white_noise,1,1,93,1000,0.02607404999880547,1.1192106934239807,0.013103057070451563
gaussian_white_noise,1,1,94,1000,0.08017514734110609,1.1464366304121072,0.0
gaussian_white_noise,1,1,95,1000,0.00776149491186473,1.138029262882144,0.0
gaussian_white_noise,1,1,96,1000,0.04672428662399586,1.1332470113375779,0.0
gaussian_white_noise,1,1,97,1000,0.04711568328002347,1.1190319042248438,0.0
gaussian_white_noise,1,1,98,1000,0.056664067954568687,1.1105972816210166,0.003270254032502251
gaussian_white_noise,1,1,99,1000,0.0367160908534343,1.1370659693895682,0.0
gaussian_white_noise,2,1,0,999,0.07614939146799049,2.2925913161078175,0.0
gaussian_white_noise,2,1,1,999,0.0999788757295148,2.341929705851523,0.0
gaussian_white_noise,2,1,2,999,0.011320584216051088,2.3387042356304293,0.0
gaussian_white_noise,2,1,3,999,0.08128361037973342,2.307944797502275,0.009475137880834872
gaussian_white_noise,2,1,4,999,0.06960456875342036,2.298908962883031,0.0
gaussian_white_noise,2,1,5,999,0.07178922164348656,2.30526835186714,0.0
gaussian_white_noise,2,1,6,999,0.041228191700085404,2.3026466528425287,0.0
gaussian_white_noise,2,1,7,999,0.11381297007466529,2.3053650155129377,0.0
gaussian_white_noise,2,1,8,999,0.055740887196746414,2.2851119222868697,0.0
gaussian_white_noise,2,1,9,999,0.04549865519275187,2.263757066947521,0.0
gaussian_white_noise,2,1,10,999,0.04985972255259785,2.2896679436133494,0.0
gaussian_white_noise,2,1,11,999,0.09300440097841811,2.3501383302914216,0.03100535981212227
gaussian_white_noise,2,1,12,999,0.07973727894422922,2.3113179747854717,0.0
gaussian_white_noise,2,1,13,999,0.009350943597846495,2.3252457008376606,0.0
gaussian_white_noise,2,1,14,999,0.10139134267169059,2.289100642276853,0.0
gaussian_white_noise,2,1,15,999,0.04187295374141886,2.30236005572532,0.0
gaussian_white_noise,2,1,16,999,0.08767935118311598,2.3109565361799405,0.002842778925035816
gaussian_white_noise,2,1,17,999,0.1328609625896684,2.2842563164273613,0.010496037460722807
gaussian_white_noise,2,1,18,999,0.08805194777567849,2.2660823473114236,0.02456390179379042
gaussian_white_noise,2,1,19,999,0.05908211309220501,2.283115830326763,0.03311815978625443
gaussian_white_noise,2,1,20,999,0.031124363881698258,2.240650540038163,0.0
gaussian_white_noise,2,1,21,999,0.046500205062326216,2.2713445604130884,0.0
gaussian_white_noise,2,1,22,999,0.04579328378885705,2.262303399510295,0.0
